year,crop_name,crop_id,total_ha
2008,Dry Beans,42,551626.998937344
2008,Chickpeas,51,33224.691227904
2008,Lentils,52,105622.95262463999
2008,Peas,53,342890.144669952
2009,Dry Beans,42,554459.79843302409
2009,Chickpeas,51,37999.981806336
2009,Lentils,52,164302.37074944
2009,Peas,53,339086.09963289596
2010,Dry Beans,42,687399.031908864
2010,Chickpeas,51,58315.201046783994
2010,Lentils,52,256570.69718015997
2010,Peas,53,287893.365889536
2011,Dry Beans,42,418202.142690816
2011,Chickpeas,51,54430.218881279994
2011,Lentils,52,166325.79896063998
2011,Peas,53,138726.23815987198
2012,Dry Beans,42,600593.961648384
2012,Chickpeas,51,83486.647994111991
2012,Lentils,52,182108.539008
2012,Peas,53,251512.12665216
2013,Dry Beans,42,443697.338151936
2013,Chickpeas,51,88464.281393664
2013,Lentils,52,140425.91785728
2013,Peas,53,322534.45686528
2014,Dry Beans,42,581330.92507776
2014,Chickpeas,51,85833.824719104
2014,Lentils,52,104813.58134015999
2014,Peas,53,364014.73519488
2015,Dry Beans,42,609497.04577766394
2015,Chickpeas,51,81867.905425152
2015,Lentils,52,192225.680064
2015,Peas,53,438476.89336704
2016,Dry Beans,42,501041.29365734395
2016,Chickpeas,51,129499.40551679999
2016,Lentils,52,366240.5062272
2016,Peas,53,538555.652692992
2017,Dry Beans,42,571294.721150208
2017,Chickpeas,51,247262.92740863998
2017,Lentils,52,413588.72636927996
2017,Peas,53,425526.95281536
2018,Dry Beans,42,471175.49326003203
2018,Chickpeas,51,342525.92759193596
2018,Lentils,52,289350.23420159996
2018,Peas,53,344508.887238912
2019,Dry Beans,42,473482.20142079995
2019,Chickpeas,51,163573.936593408
2019,Lentils,52,172396.08359424
2019,Peas,53,436655.80797696
2020,Dry Beans,42,669269.115136512
2020,Chickpeas,51,101576.09620223999
2020,Lentils,52,208413.1057536
2020,Peas,53,405090.32788224
2021,Dry Beans,42,534225.51632102393
2021,Chickpeas,51,141316.226270208
2021,Lentils,52,233503.61557248
2021,Peas,53,361788.96416256
2022,Dry Beans,42,493392.735019008
2022,Chickpeas,51,138281.083953408
2022,Lentils,52,250500.41254656
2022,Peas,53,359360.85030911997
2023,Dry Beans,42,467857.070993664
2023,Chickpeas,51,144391.837151232
2023,Lentils,52,211650.59089152
2023,Peas,53,377571.70420991996
2024,Dry Beans,42,608485.33167206391
2024,Chickpeas,51,199267.210238976
2024,Lentils,52,365431.13494272
2024,Peas,53,380364.03514137596
